"id","email","data","valor","quantidade","produto"
1,"old@iti.com","2024-09-17 09:00:00","2000.0",10,"Zapflow com Gemini"
2,"leandro@gmail.com","2024-09-18 09:00:00","20000.0",12,"Zapflow com Gemini"
3,"maciel@gmail.com","2024-09-18 09:00:00","1000.0",10,"Zapflow com ChatGPT"
4,"ok@gmail.com","2024-09-18 09:00:00","5000.0",20,"Zapflow com ChatGPT"
5,"f@gmail.com","2024-09-18 09:00:00","1000.0",1,"Zapflow com Gemini"
6,"e@gmail.com","2024-09-18 09:00:00","1000.0",1,"Zapflow com ChatGPT"
7,"r@gmail.com","2024-09-18 09:00:00","3000.0",2,"Zapflow com ChatGPT"
8,"q@gmail.com","2024-09-18 09:00:00","2000.0",10,"Zapflow com Llmama3.0"
9,"p@gmail.com","2024-09-18 09:00:00","1000.0",5,"Zapflow com Llmama3.0"
10,"h@gmail.com","2024-09-18 09:00:00","5000.0",1,"Zapflow com ChatGPT"
